Artists,Location,Date,Time,Link,Title
Tsai Chin,Arena Of Stars - Genting Highlands,8-Jun-19,8:30 PM,https://www.ticket2u.com.my/event/13155/tsai-chin-live-in-genting-2019,TSAI CHIN LIVE IN GENTING 2019
Boyzone,Stadium Malawati - Persiaran Sukan,14-Jun-19,8:30 PM,https://www.ticket2u.com.my/event/13698/boyzone-thank-you-goodbye-farewell-tour-2019-live-in-malaysia,BOYZONE THANK YOU & GOODBYE FAREWELL TOUR 2019 LIVE IN MALAYSIA
Malaysia  Super Juniors,Quill City Mall - Jalan Sultan Ismail,05 May - 16 June 2019,1:00PM,https://www.ticket2u.com.my/event/12483/malaysia-super-juniors-award-2019,Malaysia Super Juniors Award 2019
Super Juniors,Quill City Mall - Jalan Sultan Ismail,05 May - 16 June 2019,1:00PM,https://www.ticket2u.com.my/event/12483/malaysia-super-juniors-award-2019,Malaysia Super Juniors Award 2019
Lee Brennan,Quill City Mall - Jalan Sultan Ismail,22-Jun-19,8:30 PM,https://www.ticket2u.com.my/event/13570/911-the-reunion-2019-kuala-lumpur,911 - The Reunion 2019: Kuala Lumpur
Spike Dawbarn,Quill City Mall - Jalan Sultan Ismail,22-Jun-19,9:30 PM,https://www.ticket2u.com.my/event/13570/911-the-reunion-2019-kuala-lumpur,911 - The Reunion 2019: Kuala Lumpur
Jimmy Constable,Quill City Mall - Jalan Sultan Ismail,22-Jun-19,10:30 PM,https://www.ticket2u.com.my/event/13570/911-the-reunion-2019-kuala-lumpur,911 - The Reunion 2019: Kuala Lumpur
Fan Wei Qi,Plenary Hall - KLCC,7-Jul-19,8:00 PM,https://www.ticket2u.com.my/event/13588,2019 Fan Fan Road To Happiness World Tour Concert (Malaysia)
A-Lin,Arena Of Stars - Genting Highlands,20-Jul-19,8:30PM,https://www.ticket2u.com.my/event/13150/a-lin-show-live-in-genting,A-LIN SHOW LIVE IN GENTING
Dayang Nurrfaizah,Palace of Culture - Jalan Tun Razak,21-Jul-19,8:30PM,https://www.ticket2u.com.my/event/13148/dayang-nurfaizah-dayang-dua-dekad-(sold-out),DAYANG NURFAIZAH- DAYANG DUA DEKAD
Westlife,Stadium Malawati - Persiaran Sukan,08 - 09 Aug 2019,8:00PM,https://www.ticket2u.com.my/event/13357/westlife-the-twenty-tour-in-malaysia-2019,Westlife - THE TWENTY TOUR in Malaysia 2019
TWICE,Axiata Arena - Technology Park Malaysia,17-Aug-19,8:00PM,https://www.ticket2u.com.my/event/13691,TWICE WORLD TOUR 2019
Tsai Chin,Arena Of Stars1 - Genting Highlands,8-Jun-19,8:30 PM,https://www.ticket2u.com.my/event/13155/tsai-chin-live-in-genting-2019,TSAI CHIN LIVE IN GENTING 2019
